,model,accuracy,precision,recall,f1score,rocauc,specificity
0,gnb,0.7713572913572913,0.7317476261311311,0.8584615384615384,0.7939477428507834,0.8577245080500895,0.8260869565217391
0,bnb,0.7952390852390854,0.772152084741759,0.8276923076923077,0.8065852928821275,0.8708868400532086,0.7850467289719626
0,mnb,0.7567181467181466,0.7509321734163159,0.7907692307692307,0.7640125427713228,0.8355496536856108,0.7560975609756098
0,logit,0.7629046629046629,0.7961304564939415,0.8076923076923077,0.7893574602811574,0.8578776202926471,0.8695652173913043
0,knn,0.7528898128898129,0.7604910261207758,0.7784615384615383,0.7627511241300923,0.8288507407917068,0.7168141592920354
0,decisiontree,0.8629670329670329,0.8523549250408824,0.8830769230769231,0.8749540618664916,0.8637090041741203,0.8767772511848341
0,randomforest,0.9107098307098307,0.9184491412338389,0.8984615384615384,0.8958470045355738,0.9673701665061236,0.8893805309734514
0,svc,0.6597445797445797,0.8500895995932503,0.39076923076923076,0.5311478924912586,0.7329349112426036,0.5768025078369906
0,linearsvc,0.5188446688446688,0.3089844255051628,0.5215384615384615,0.2758926728586171,0.6079909178478051,0.5887850467289719
0,xgboost,0.8745262845262844,0.896695519889531,0.8523076923076923,0.8692988965945713,0.9465424521810926,0.8755555555555555
0,NN,0.5280754380754381,0.6762206976407585,0.5876923076923077,0.6798134164863789,0.5771891197651484,0.5011547344110855
