,model,accuracy,precision,recall,f1score,rocauc,specificity
0,gnb,0.7475170775170776,0.7159545802940889,0.8584615384615386,0.7749396627954599,0.853387092335214,0.8780487804878049
0,bnb,0.7921473121473122,0.7809077604822285,0.8107692307692307,0.7901804988806556,0.8689280308242742,0.8186274509803921
0,mnb,0.7559548559548559,0.7428248598468319,0.7830769230769231,0.7637123396049398,0.8335166276776294,0.7853658536585366
0,logit,0.8090555390555391,0.8005069216285554,0.8230769230769232,0.8050583663866702,0.8295292876473557,0.7028112449799196
0,knn,0.7436709236709238,0.739641783923892,0.7415384615384616,0.7394104931889232,0.8218806018072566,0.7276785714285714
0,decisiontree,0.8652747252747253,0.8572153179193475,0.8676923076923078,0.8558149101915362,0.8590697674418605,0.8558139534883721
0,randomforest,0.9068339768339768,0.9081376958432786,0.8846153846153847,0.8962402776217206,0.9661479289940829,0.9360730593607306
0,svc,0.6597208197208196,0.7164503220499234,0.5461538461538461,0.6307917942619985,0.7571731571946241,0.6666666666666666
0,linearsvc,0.4942292842292842,0.20478786739362037,0.26769230769230773,0.26806464981351014,0.5303373239759644,0.5769230769230769
0,xgboost,0.876061776061776,0.900143370411153,0.8723076923076925,0.8813252535774543,0.9548669785789643,0.8789237668161435
0,NN,0.5281645381645381,0.43418358064302165,0.5892307692307692,0.5368332841812521,0.5976379982569606,0.5011547344110855
